epoch,accuracy,loss,val_accuracy,val_loss
0,0.10196468979120255,3.386629819869995,0.2109479308128357,2.9525885581970215
1,0.20223385095596313,2.910430908203125,0.32309746742248535,2.596259117126465
2,0.2636331021785736,2.656419277191162,0.39042532444000244,2.3620121479034424
3,0.30962422490119934,2.4859330654144287,0.43829867243766785,2.2016804218292236
4,0.3393595218658447,2.363373279571533,0.4716765284538269,2.0810160636901855
5,0.3657037615776062,2.2694809436798096,0.49570855498313904,1.9893701076507568
6,0.3865375220775604,2.186492681503296,0.5199313163757324,1.9113844633102417
7,0.40552741289138794,2.1283609867095947,0.5355712175369263,1.8486602306365967
8,0.4187949001789093,2.0752460956573486,0.5483501553535461,1.7969759702682495
9,0.42992180585861206,2.02884578704834,0.5576959848403931,1.752832055091858
10,0.4379119575023651,2.000241756439209,0.5685676336288452,1.7147976160049438
11,0.4472161531448364,1.9612643718719482,0.5800114274024963,1.6759541034698486
12,0.45806753635406494,1.9247870445251465,0.5878313779830933,1.6467576026916504
13,0.4653794765472412,1.9034174680709839,0.59336256980896,1.6250534057617188
14,0.4703388810157776,1.8741788864135742,0.6004195809364319,1.5948498249053955
15,0.4800245761871338,1.8494031429290771,0.6059507727622986,1.5681697130203247
16,0.48456010222435,1.8302334547042847,0.6090024709701538,1.5516372919082642
17,0.48964670300483704,1.812572717666626,0.6139614582061768,1.5335537195205688
18,0.4943517744541168,1.798855185508728,0.6166316866874695,1.5121389627456665
19,0.4977216422557831,1.7827657461166382,0.6225443482398987,1.5011279582977295
20,0.5004768371582031,1.7657294273376465,0.6248331069946289,1.4824680089950562
21,0.5081067085266113,1.7452939748764038,0.6309365034103394,1.468624472618103
22,0.5096539258956909,1.7362169027328491,0.6337974667549133,1.4562368392944336
23,0.5135747790336609,1.7197446823120117,0.6366584300994873,1.4431569576263428
24,0.5147616863250732,1.7141438722610474,0.6395193338394165,1.4308607578277588
25,0.5206748247146606,1.6977206468582153,0.6410452127456665,1.419018268585205
26,0.519784688949585,1.6901229619979858,0.6439061760902405,1.405537724494934
27,0.5270966291427612,1.6789753437042236,0.6452412605285645,1.400391936302185
28,0.5287285447120667,1.6715348958969116,0.6496281027793884,1.3896818161010742
29,0.5295975208282471,1.6610980033874512,0.6500095129013062,1.381195068359375
30,0.5325011014938354,1.6478155851364136,0.6543963551521301,1.3702876567840576
31,0.5357649922370911,1.644771933555603,0.6553499698638916,1.3655935525894165
32,0.5373121500015259,1.63654363155365,0.6574480533599854,1.3576319217681885
33,0.5425047278404236,1.627417802810669,0.6582109332084656,1.3508707284927368
34,0.5406820178031921,1.6223108768463135,0.6610718965530396,1.3408727645874023
35,0.5453870892524719,1.6114791631698608,0.6625977754592896,1.3352012634277344
36,0.5431405305862427,1.606814980506897,0.6645050644874573,1.3277778625488281
37,0.5476124882698059,1.5980433225631714,0.6658401489257812,1.3206857442855835
38,0.5514910221099854,1.5928751230239868,0.6654586791992188,1.314553141593933
39,0.5521904230117798,1.5831822156906128,0.6677474975585938,1.310943841934204
